DATE,OPEN,HIGH,LOW,CLOSE,CHANGE
2018년 09월 21일,"1,315.53","1,319.12","1,307.33","1,310.07",-0.42%
2018년 09월 20일,"1,306.21","1,318.39","1,305.38","1,315.59",0.72%
2018년 09월 19일,"1,309.88","1,314.86","1,305.68","1,306.15",-0.30%
2018년 09월 18일,"1,316.11","1,320.62","1,308.87","1,310.11",-0.44%
2018년 09월 17일,"1,303.47","1,317.83","1,303.26","1,315.94",0.87%
2018년 09월 14일,"1,310.31","1,312.66","1,302.78","1,304.55",-0.36%
2018년 09월 13일,"1,301.44","1,312.53","1,300.85","1,309.29",0.53%
2018년 09월 12일,"1,304.62","1,312.20","1,299.63","1,302.40",-0.17%
2018년 09월 11일,"1,309.65","1,319.71","1,302.60","1,304.62",-0.41%
2018년 09월 10일,"1,304.98","1,314.02","1,302.08","1,310.01",0.47%
2018년 09월 07일,"1,305.23","1,310.42","1,299.27","1,303.84",-0.02%
2018년 09월 06일,"1,301.13","1,307.91","1,299.92","1,304.06",0.12%
2018년 09월 05일,"1,295.63","1,306.10","1,293.09","1,302.44",0.55%
2018년 09월 04일,"1,292.70","1,297.61","1,289.64","1,295.28",0.20%
2018년 09월 03일,"1,294.65","1,297.08","1,287.89","1,292.70",-0.15%
2018년 08월 31일,"1,301.07","1,304.88","1,294.07","1,294.62",-0.49%
2018년 08월 30일,"1,300.16","1,302.49","1,294.89","1,301.02",0.05%
2018년 08월 29일,"1,296.16","1,302.12","1,294.56","1,300.34",0.32%
2018년 08월 28일,"1,294.97","1,299.25","1,292.88","1,296.16",0.08%
2018년 08월 27일,"1,297.54","1,299.46","1,291.57","1,295.15",-0.01%
2018년 08월 24일,"1,296.74","1,300.63","1,289.63","1,295.28",-0.19%
2018년 08월 23일,"1,296.20","1,301.99","1,294.69","1,297.76",0.11%
2018년 08월 22일,"1,292.69","1,300.61","1,291.17","1,296.27",0.33%
2018년 08월 21일,"1,282.93","1,294.20","1,282.40","1,292.03",0.64%
2018년 08월 20일,"1,281.10","1,285.44","1,279.12","1,283.83",0.25%
2018년 08월 17일,"1,281.42","1,283.12","1,277.92","1,280.60",-0.15%
2018년 08월 16일,"1,286.49","1,291.21","1,279.68","1,282.47",-0.31%
