DATE|Actual Value|Prediction Value
20181121|5.600887036219601e-05|6.61926370949894e-05
20181122|3.242331420772972e-05|6.695061424138662e-05
20181123|4.5485632573988134e-05|5.0516531079989016e-05
20181126|5.165409789712493e-05|4.7880903953881104e-05
20181127|3.941791034139697e-05|4.9021824064234294e-05
20181128|2.4920777921664597e-05|4.6946053816243095e-05
20181129|4.5413278188457595e-05|4.224133359020991e-05
20181130|6.552831055318621e-05|4.187138352772448e-05
20181203|4.7957124528409735e-05|4.5700763212499004e-05
20181204|2.937176729460755e-05|4.587485532572995e-05
20181205|4.7265336347510115e-05|4.693650840452636e-05
20181206|3.8903266754036405e-05|5.337000749081808e-05
20181207|3.872711584446998e-05|5.1607336347887614e-05
20181210|4.93624347984699e-05|4.584168967819365e-05
20181211|3.908610525869867e-05|5.581049337135944e-05
